date,indicator,value,series_id
2015-01-01,미국 GDP,18063.529,GDP
2015-04-01,미국 GDP,18279.784,GDP
2015-07-01,미국 GDP,18401.626,GDP
2015-10-01,미국 GDP,18435.137,GDP
2016-01-01,미국 GDP,18525.933,GDP
2016-04-01,미국 GDP,18711.702,GDP
2016-07-01,미국 GDP,18892.639,GDP
2016-10-01,미국 GDP,19089.379,GDP
2017-01-01,미국 GDP,19280.084,GDP
2017-04-01,미국 GDP,19438.643,GDP
2017-07-01,미국 GDP,19692.595,GDP
2017-10-01,미국 GDP,20037.088,GDP
2018-01-01,미국 GDP,20328.553,GDP
2018-04-01,미국 GDP,20580.912,GDP
2018-07-01,미국 GDP,20798.73,GDP
2018-10-01,미국 GDP,20917.867,GDP
2019-01-01,미국 GDP,21111.6,GDP
2019-04-01,미국 GDP,21397.938,GDP
2019-07-01,미국 GDP,21717.171,GDP
2019-10-01,미국 GDP,21933.217,GDP
2015-01-01,미국 CPI,234.747,CPIAUCSL
2015-02-01,미국 CPI,235.342,CPIAUCSL
2015-03-01,미국 CPI,235.976,CPIAUCSL
2015-04-01,미국 CPI,236.222,CPIAUCSL
2015-05-01,미국 CPI,237.001,CPIAUCSL
2015-06-01,미국 CPI,237.657,CPIAUCSL
2015-07-01,미국 CPI,238.034,CPIAUCSL
2015-08-01,미국 CPI,238.033,CPIAUCSL
2015-09-01,미국 CPI,237.498,CPIAUCSL
2015-10-01,미국 CPI,237.733,CPIAUCSL
2015-11-01,미국 CPI,238.017,CPIAUCSL
2015-12-01,미국 CPI,237.761,CPIAUCSL
2016-01-01,미국 CPI,237.652,CPIAUCSL
2016-02-01,미국 CPI,237.336,CPIAUCSL
2016-03-01,미국 CPI,238.08,CPIAUCSL
2016-04-01,미국 CPI,238.992,CPIAUCSL
2016-05-01,미국 CPI,239.557,CPIAUCSL
2016-06-01,미국 CPI,240.222,CPIAUCSL
2016-07-01,미국 CPI,240.101,CPIAUCSL
2016-08-01,미국 CPI,240.545,CPIAUCSL
2016-09-01,미국 CPI,241.176,CPIAUCSL
2016-10-01,미국 CPI,241.741,CPIAUCSL
2016-11-01,미국 CPI,242.026,CPIAUCSL
2016-12-01,미국 CPI,242.637,CPIAUCSL
2017-01-01,미국 CPI,243.618,CPIAUCSL
2017-02-01,미국 CPI,244.006,CPIAUCSL
2017-03-01,미국 CPI,243.892,CPIAUCSL
2017-04-01,미국 CPI,244.193,CPIAUCSL
2017-05-01,미국 CPI,244.004,CPIAUCSL
2017-06-01,미국 CPI,244.163,CPIAUCSL
2017-07-01,미국 CPI,244.243,CPIAUCSL
2017-08-01,미국 CPI,245.183,CPIAUCSL
2017-09-01,미국 CPI,246.435,CPIAUCSL
2017-10-01,미국 CPI,246.626,CPIAUCSL
2017-11-01,미국 CPI,247.284,CPIAUCSL
2017-12-01,미국 CPI,247.805,CPIAUCSL
2018-01-01,미국 CPI,248.859,CPIAUCSL
2018-02-01,미국 CPI,249.529,CPIAUCSL
2018-03-01,미국 CPI,249.577,CPIAUCSL
2018-04-01,미국 CPI,250.227,CPIAUCSL
2018-05-01,미국 CPI,250.792,CPIAUCSL
2018-06-01,미국 CPI,251.018,CPIAUCSL
2018-07-01,미국 CPI,251.214,CPIAUCSL
2018-08-01,미국 CPI,251.663,CPIAUCSL
2018-09-01,미국 CPI,252.182,CPIAUCSL
2018-10-01,미국 CPI,252.772,CPIAUCSL
2018-11-01,미국 CPI,252.594,CPIAUCSL
2018-12-01,미국 CPI,252.767,CPIAUCSL
2019-01-01,미국 CPI,252.561,CPIAUCSL
2019-02-01,미국 CPI,253.319,CPIAUCSL
2019-03-01,미국 CPI,254.277,CPIAUCSL
