date,indicator,value,series_id
2020-03-01,한국 GDP - 비ICT산업,-2.1,200Y102
2020-03-01,"한국 GDP - 국내총생산에 대한 지출(실질, 계절조정, 전기비)",-1.3,200Y102
2020-03-01,한국 GDP - 민간소비,-6.1,200Y102
2020-03-01,한국 GDP - 설비투자,1.3,200Y102
2020-03-01,한국 GDP - 건설투자,0.7,200Y102
2020-03-01,한국 GDP - 재화수출,-1.3,200Y102
2020-03-01,한국 GDP - 재화수입,-2.1,200Y102
2020-03-01,한국 GDP - 내수(재고제외),-2.6,200Y102
2020-03-01,한국 GDP - 정부소비,1.7,200Y102
2020-03-01,"한국 GDP - 국내총생산(GDP)(실질, 원계열, 전년동기비)",1.2,200Y102
2020-03-01,한국 GDP - 농림어업,-3.9,200Y102
2020-03-01,한국 GDP - 제조업,0.8,200Y102
2020-03-01,"한국 GDP - 전기, 가스 및 수도사업",8.2,200Y102
2020-03-01,한국 GDP - 건설업,3.5,200Y102
2020-03-01,한국 GDP - 서비스업,1.2,200Y102
2020-03-01,"한국 GDP - 국내총생산에 대한 지출(실질, 원계열, 전년동기비)",1.2,200Y102
2020-03-01,한국 GDP - 민간소비,-4.4,200Y102
2020-03-01,한국 GDP - 설비투자,3.4,200Y102
2020-03-01,한국 GDP - 건설투자,5.5,200Y102
2020-03-01,한국 GDP - 재화수출,6.1,200Y102
2020-03-01,한국 GDP - 재화수입,2.1,200Y102
2020-03-01,한국 GDP - 내수(재고제외),0.0,200Y102
2020-03-01,한국 GDP - 정부소비,7.0,200Y102
2020-03-01,한국 GDP - 명목 GNI(전기비),-1.3,200Y102
2020-03-01,한국 GDP - 실질 GNI(전기비),0.0,200Y102
2020-03-01,한국 GDP - 명목 GNI(전년동기비),1.7,200Y102
2020-03-01,한국 GDP - 실질 GNI(전년동기비),0.3,200Y102
2020-03-01,"한국 GDP - GDP 디플레이터 등락률(원계열, 전년동기비)",-0.1,200Y102
2020-03-01,한국 GDP - 총저축률,35.7,200Y102
2020-03-01,한국 GDP - 국내총투자율,31.0,200Y102
2020-03-01,한국 GDP - (가계순저축률),11.4,200Y102
2020-03-01,"한국 GDP - 수출입의 대 GNI 비율(명목, 계절조정)",73.7,200Y102
2020-03-01,"한국 GDP - 국내총생산(GDP)(명목, 계절조정, 전기비)",-1.2,200Y102
2020-03-01,한국 GDP - 피용자보수,-0.5,200Y102
2020-03-01,한국 GDP - 총영업잉여,-2.8,200Y102
2020-03-01,한국 GDP - 순생산 및 수입세,2.1,200Y102
2020-03-01,"한국 GDP - 국내총생산(GDP)(명목, 원계열, 전년동기비)",1.1,200Y102
2020-03-01,한국 GDP - 피용자보수,3.2,200Y102
2020-03-01,한국 GDP - 총영업잉여,-1.6,200Y102
2020-03-01,한국 GDP - 순생산 및 수입세,2.0,200Y102
2020-03-01,한국 GDP - 가계총처분가능소득(계절조정계열),293318.8,200Y102
2020-03-01,한국 GDP - 가계총처분가능소득(원계열),301520.1,200Y102
2020-03-01,한국 GDP - 실질가계총처분가능소득(계절조정계열),295501.7,200Y102
2020-03-01,한국 GDP - 실질가계총처분가능소득(원계열),304484.4,200Y102
2020-03-01,한국 GDP - 가계총저축(계절조정계열),52383.6,200Y102
2020-03-01,한국 GDP - 가계총저축(원계열),59867.8,200Y102
2020-06-01,"한국 GDP - 국내총생산(GDP)(실질, 계절조정, 전기비)",-2.7,200Y102
2020-06-01,한국 GDP - 비농림어업GDP,-2.7,200Y102
2020-06-01,한국 GDP - 농림어업,-2.8,200Y102
2020-06-01,한국 GDP - 제조업,-7.2,200Y102
2020-06-01,한국 GDP - 건설업,-0.1,200Y102
2020-06-01,한국 GDP - 서비스업,-1.4,200Y102
2020-06-01,한국 GDP - ICT산업,-2.6,200Y102
2020-06-01,한국 GDP - 비ICT산업,-3.1,200Y102
2020-06-01,"한국 GDP - 국내총생산에 대한 지출(실질, 계절조정, 전기비)",-2.7,200Y102
2020-06-01,한국 GDP - 민간소비,0.0,200Y102
2020-06-01,한국 GDP - 설비투자,-0.8,200Y102
2020-06-01,한국 GDP - 건설투자,-1.2,200Y102
