date,name,ticker,open,high,low,close,volume
2020-01-02,S&P500,^GSPC,3244.669921875,3258.139892578125,3235.530029296875,3257.85009765625,3459930000
2020-01-03,S&P500,^GSPC,3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3484700000
2020-01-06,S&P500,^GSPC,3217.550048828125,3246.840087890625,3214.639892578125,3246.280029296875,3702460000
2020-01-07,S&P500,^GSPC,3241.860107421875,3244.909912109375,3232.429931640625,3237.179931640625,3435910000
2020-01-08,S&P500,^GSPC,3238.590087890625,3267.070068359375,3236.669921875,3253.050048828125,3726840000
2020-01-09,S&P500,^GSPC,3266.030029296875,3275.580078125,3263.669921875,3274.699951171875,3641230000
2020-01-10,S&P500,^GSPC,3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3214580000
2020-01-13,S&P500,^GSPC,3271.1298828125,3288.1298828125,3268.429931640625,3288.1298828125,3459390000
2020-01-14,S&P500,^GSPC,3285.35009765625,3294.25,3277.18994140625,3283.14990234375,3687620000
2020-01-15,S&P500,^GSPC,3282.27001953125,3298.659912109375,3280.68994140625,3289.2900390625,3721490000
2020-01-16,S&P500,^GSPC,3302.969970703125,3317.110107421875,3302.820068359375,3316.81005859375,3540580000
2020-01-17,S&P500,^GSPC,3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3726220000
2020-01-21,S&P500,^GSPC,3321.030029296875,3329.7900390625,3316.610107421875,3320.7900390625,4104840000
2020-01-22,S&P500,^GSPC,3330.02001953125,3337.77001953125,3320.0400390625,3321.75,3623780000
2020-01-23,S&P500,^GSPC,3315.77001953125,3326.8798828125,3301.8701171875,3325.5400390625,3766710000
2020-01-24,S&P500,^GSPC,3333.10009765625,3333.179931640625,3281.530029296875,3295.469970703125,3708780000
2020-01-27,S&P500,^GSPC,3247.159912109375,3258.85009765625,3234.5,3243.6298828125,3831050000
2020-01-28,S&P500,^GSPC,3255.35009765625,3285.780029296875,3253.219970703125,3276.239990234375,3531570000
2020-01-29,S&P500,^GSPC,3289.4599609375,3293.469970703125,3271.889892578125,3273.39990234375,3600250000
