date,indicator,value,period,is_holiday_gap,pct_1d,pct_1w,pct_1m,event_flag
2020-01-09,원/달러 환율,1174.1,D,False,0.7551703424010903,1.4078424598376271,,
2020-01-10,원/달러 환율,1160.0,D,False,-1.2009198535048005,0.2679574725559686,,
2020-01-13,원/달러 환율,1161.1,D,False,0.09482758620689147,-0.13761073363723897,,
2020-01-14,원/달러 환율,1155.7,D,False,-0.46507622082506694,-1.1884404924760505,,
2020-01-15,원/달러 환율,1153.1,D,False,-0.22497187851520106,-1.04694070196516,,
2020-01-16,원/달러 환율,1158.8,D,False,0.4943196600468269,-1.3031257984839395,,
2020-01-17,원/달러 환율,1159.6,D,False,0.06903693476010275,-0.03448275862070194,,
2020-01-20,원/달러 환율,1158.8,D,False,-0.06898930665746317,-0.19808801998104641,,
2020-01-21,원/달러 환율,1158.8,D,False,0.0,0.2682357013065628,,
2020-01-22,원/달러 환율,1164.7,D,False,0.5091473938557245,1.0059838695690049,,
2020-01-23,원/달러 환율,1165.1,D,False,0.03434360779599466,0.5436658612357537,,
2020-01-28,원/달러 환율,1167.2,D,False,0.18024203930995242,0.6553984132459556,,
2020-01-29,원/달러 환율,1176.7,D,False,0.8139136394790913,1.544701415257177,,
2020-01-30,원/달러 환율,1176.0,D,False,-0.05948839976205322,1.484294097342076,,
2020-01-31,원/달러 환율,1183.5,D,False,0.6377551020408267,1.6141495664119487,,
2020-02-03,원/달러 환율,1187.8,D,False,0.3633291085762602,1.9483306153978308,2.591121091725679,
2020-02-04,원/달러 환율,1196.0,D,False,0.6903519110961431,2.4674434544208257,3.379721669980107,
2020-02-05,원/달러 환율,1189.4,D,False,-0.5518394648829306,1.0792895385399959,2.296379117571168,
2020-02-06,원/달러 환율,1188.5,D,False,-0.07566840423743892,1.0629251700680298,1.615937072503426,
2020-02-07,원/달러 환율,1181.4,D,False,-0.5973916701724757,-0.1774397972116537,1.3816184673474785,
2020-02-10,원/달러 환율,1187.2,D,False,0.49094294904350466,-0.05051355447044381,1.1157482326888735,
2020-02-11,원/달러 환율,1189.8,D,False,0.2190026954177915,-0.5183946488294344,2.568965517241373,
2020-02-12,원/달러 환율,1184.1,D,False,-0.47907211296016605,-0.44560282495377246,1.9808801998105308,
2020-02-13,원/달러 환율,1179.8,D,False,-0.3631450046448714,-0.7320151451409407,2.0853162585446006,
2020-02-14,원/달러 환율,1181.5,D,False,0.14409221902018654,0.008464533604191082,2.4629260254964924,
2020-02-17,원/달러 환율,1183.5,D,False,0.1692763436309752,-0.3116576819407024,2.1315153607179838,
2020-02-18,원/달러 환율,1182.2,D,False,-0.10984368398816446,-0.6387628172802029,1.9489479130734955,
2020-02-19,원/달러 환율,1188.1,D,False,0.49906953138216803,0.3378093066463972,2.52847773558853,
2020-02-20,원/달러 환율,1190.8,D,False,0.22725359818196456,0.9323614171893535,2.761477390403866,
2020-02-21,원/달러 환율,1197.0,D,False,0.5206583809203913,1.3118916631400745,2.7732463295269127,
2020-02-24,원/달러 환율,1205.6,D,False,0.7184628237259849,1.8673426277988847,3.4760964724058097,
2020-02-25,원/달러 환율,1217.7,D,False,1.0036496350365187,3.0028759939096705,4.326593557230973,
2020-02-26,원/달러 환율,1212.7,D,False,-0.41061016670772554,2.070532783435741,3.059403416333817,
2020-02-27,원/달러 환율,1216.8,D,False,0.33808856271129173,2.183406113537112,3.469387755102038,
2020-02-28,원/달러 환율,1215.9,D,False,-0.07396449704141217,1.5789473684210575,2.7376425855513364,
2020-03-02,원/달러 환율,1215.3,D,False,-0.049346163335817206,0.8045786330457938,2.3152045798956022,
2020-03-03,원/달러 환율,1200.3,D,False,-1.2342631449024921,-1.428923380142899,0.35953177257523894,
2020-03-04,원/달러 환율,1191.4,D,False,-0.7414812963425721,-1.75641131359775,0.1681520094165112,
2020-03-05,원/달러 환율,1186.4,D,False,-0.41967433271781207,-2.4983563445101775,-0.1766933108960811,
2020-03-06,원/달러 환율,1185.0,D,False,-0.11800404585300406,-2.541327411793737,0.3047232097511454,
2020-03-09,원/달러 환율,1191.4,D,False,0.5400843881856687,-1.9665926108779597,0.35377358490567,
2020-03-10,원/달러 환율,1201.4,D,False,0.8393486654356241,0.09164375572774386,0.9749537737435032,
2020-03-11,원/달러 환율,1196.7,D,False,-0.3912102547028451,0.4448547926808821,1.0640993159361622,
2020-03-12,원/달러 환율,1192.8,D,False,-0.32589621459012674,0.539447066756571,1.101881674860139,
