date,indicator,value,period
20200323,원/달러 환율,1254.1,D
20200323,원/엔 환율,1130.48,D
20200323,원/유로 환율,1339.13,D
20200324,원/달러 환율,1274.6,D
20200324,원/엔 환율,1147.98,D
20200324,원/유로 환율,1369.75,D
20200325,원/달러 환율,1256.0,D
20200325,원/엔 환율,1128.84,D
20200325,원/유로 환율,1358.11,D
20200326,원/달러 환율,1230.7,D
20200326,원/엔 환율,1109.04,D
20200326,원/유로 환율,1339.37,D
20200327,원/달러 환율,1227.9,D
20200327,원/엔 환율,1123.58,D
20200327,원/유로 환율,1355.72,D
20200330,원/달러 환율,1212.4,D
20200330,원/엔 환율,1125.35,D
20200330,원/유로 환율,1347.46,D
20200331,원/달러 환율,1222.6,D
20200331,원/엔 환율,1130.83,D
20200331,원/유로 환율,1348.65,D
202004,기준금리,0.75,M
20200401,원/달러 환율,1220.0,D
20200401,원/엔 환율,1132.93,D
20200401,원/유로 환율,1345.29,D
20200402,원/달러 환율,1222.2,D
20200402,원/엔 환율,1139.69,D
20200402,원/유로 환율,1337.94,D
20200403,원/달러 환율,1237.6,D
20200403,원/엔 환율,1144.23,D
20200403,원/유로 환율,1342.67,D
20200406,원/달러 환율,1229.8,D
20200406,원/엔 환율,1132.88,D
20200406,원/유로 환율,1330.21,D
20200407,원/달러 환율,1233.4,D
20200407,원/엔 환율,1129.49,D
20200407,원/유로 환율,1330.78,D
20200408,원/달러 환율,1222.4,D
20200408,원/엔 환율,1124.51,D
20200408,원/유로 환율,1332.05,D
20200409,원/달러 환율,1219.7,D
20200409,원/엔 환율,1119.97,D
20200409,원/유로 환율,1324.35,D
20200410,원/달러 환율,1216.4,D
20200410,원/엔 환율,1120.8,D
20200410,원/유로 환율,1329.59,D
20200413,원/달러 환율,1212.3,D
20200413,원/엔 환율,1118.62,D
20200413,원/유로 환율,1325.77,D
20200414,원/달러 환율,1218.7,D
20200414,원/엔 환율,1131.67,D
20200414,원/유로 환율,1330.39,D
20200416,원/달러 환율,1216.7,D
20200416,원/엔 환율,1131.87,D
20200416,원/유로 환율,1326.39,D
20200417,원/달러 환율,1227.5,D
20200417,원/엔 환율,1136.47,D
20200417,원/유로 환율,1333.0,D
20200420,원/달러 환율,1219.3,D
20200420,원/엔 환율,1133.23,D
20200420,원/유로 환율,1325.32,D
20200421,원/달러 환율,1218.7,D
20200421,원/엔 환율,1131.1,D
20200421,원/유로 환율,1324.06,D
20200422,원/달러 환율,1231.3,D
20200422,원/엔 환율,1142.95,D
20200422,원/유로 환율,1336.33,D
20200423,원/달러 환율,1235.2,D
20200423,원/엔 환율,1146.2,D
20200423,원/유로 환율,1336.61,D
20200424,원/달러 환율,1232.0,D
20200424,원/엔 환율,1145.03,D
20200424,원/유로 환율,1327.97,D
20200427,원/달러 환율,1235.8,D
20200427,원/엔 환율,1150.28,D
20200427,원/유로 환율,1336.89,D
20200428,원/달러 환율,1230.3,D
20200428,원/엔 환율,1147.19,D
20200428,원/유로 환율,1332.11,D
20200429,원/달러 환율,1225.2,D
