timestamp,keyword,title,link,description,pubDate,
2025-11-06 9:38,경제,수원시의회 '수원시 치유농업 활성화 방안 연구회' 성과보고회 개최,https://www.kgnews.co.kr/news/article.html?no=872939,6일 수원시의회는 해당 단체가 기획<b>경제</b>위원회 회의실에서 연구용역 최종보고회를 열었다고 밝혔다. 연구회는 지난 6월 활동을 시작해 수원시에서 치유식물군을 활용한 도시농업 성장 잠재력을 확인하고 치유농업 저변... ,"Thu, 06 Nov 2025 18:36:00 +0900",
2025-11-06 9:38,경제,"성주군 가야산오토캠핑장, '우수 공공야영장' 선정",https://www.pointe.co.kr/news/articleView.html?idxno=60889,또한 캠핑장은 계절별 체험프로그램과 연계한 '야간관광 프로그램'을 운영해 방문객의 체류 시간을 연장하고 재방문율을 제고함으로써 지역관광 콘텐츠의 다양화와 지역<b>경제</b> 활성화에 기여하고 있다. 성주군 관계자는... ,"Thu, 06 Nov 2025 18:36:00 +0900",
2025-11-06 9:38,경제,[2035 NDC 설정] 정부 2035 온실가스 감축 목표 제시…논란 더 커질 듯,https://www.ggilbo.com/news/articleView.html?idxno=1122746,"◆정부, K-GX로 대전환 뒷받침 정부는 이날 '2035 NDC'를 <b>경제</b>성장의 기회로 만들기 위한 '대한민국 녹색전환(K-GX)'의 전략 방향도 제시했다. 김 장관은 &quot;남은 시간 얼마 없다. 남은 10년이 우리의 생존과 지속가능한 미래의... ","Thu, 06 Nov 2025 18:36:00 +0900",
2025-11-06 9:38,경제,"경과원 노조, ‘파주 이전’ 추진에 “道, 행정·제도 준비 안돼”",https://www.kgnews.co.kr/news/article.html?no=872938,경기도<b>경제</b>과학진흥원(이하 경과원)의 파주 이전에 대해 경과원 직원들이 행정 공백 문제를 강조하며 반대... [ 경기신문 = 나규항 기자 ] 경기도<b>경제</b>과학진흥원 전경. (사진=경기도<b>경제</b>과학진흥원 제공),"Thu, 06 Nov 2025 18:36:00 +0900",
2025-11-06 9:38,경제,"기업·전문가, 2035 NDC 정부안 수소 등 저탄소 연·원료 없인 불가능",http://www.e-platform.net/news/articleView.html?idxno=97572,같으날 대한상공회의소(회장 최태원)는 상의회관 중회의실B에서 한국자원<b>경제</b>학회와 공동으로... 한국자원<b>경제</b>학회장 조홍종 단국대 교수는 환영사에서 &quot;2035 NDC 상향조정은 탄소중립에 따라 추진되고 있지만 국가... ,"Thu, 06 Nov 2025 18:36:00 +0900",
2025-11-06 9:38,경제,"강훈식 &quot;李대통령, 장동혁 회동 때 신뢰…이후 행보엔 오해소지&quot;",https://n.news.naver.com/mnews/article/001/0015728921?sid=100,"&quot;李대통령, <b>경제</b>·대내외 상황 고려해 여야 힘 합치길 바라&quot; 강훈식 대통령 비서실장은 6일 &quot;이재명 대통령은... 그는 '대통령이 여야 간 정쟁이 심화하는 것에 대해 어떻게 바라보고 있느냐'는 질문에는 &quot;대한민국의 <b>경제</b>와... ","Thu, 06 Nov 2025 18:35:00 +0900",
2025-11-06 9:38,경제,"중부발전, 함안복합발전소 착공…탈석탄 신호탄",https://n.news.naver.com/mnews/article/018/0006158026?sid=101,"건설과 운영 기간에는 약 900억원의 지역사회 <b>경제</b>적 지원 효과를 달성할 것으로 전망된다. 중부발전은... 이영조 중부발전 사장은 이날 착공식에서 “함안복합발전소는 지역 주민의 일자리 창출, 지역<b>경제</b> 활성화... ","Thu, 06 Nov 2025 18:35:00 +0900",
2025-11-06 9:38,부동산,"충청권 아파트 매매가는 하락, 전세는 올라",https://www.ggilbo.com/news/articleView.html?idxno=1122736,정부의 강력한 <b>부동산</b> 정책으로 전국적으로 아파트 분양전망지수가 하락한 가운데 수도권 아파트... 6일 한국<b>부동산</b>원이 발표한 11월 첫째 주(11월3일 기준) 주간 아파트 가격 동향에 따르면 전국 주간 아파트... ,"Thu, 06 Nov 2025 18:36:00 +0900",
2025-11-06 9:38,부동산,"캄보디아 '프린스그룹' 비서, 700만 원 내고 실실 웃으며 풀려나",https://n.news.naver.com/mnews/article/422/0000798994?sid=102,프린스그룹이 대만에 세운 페이퍼컴퍼니를 이용해 구입한 호화주택 11채 등 <b>부동산</b>과 대만 랜드마크빌딩 타이베이101의 15층과 49층에 사무실이 있는 회사인 톈쉬 등 관련 기업 12개사에 대한 강제 수사가 진행됐습니다.... ,"Thu, 06 Nov 2025 18:35:00 +0900",
2025-11-06 9:38,부동산,"혹시 비웃는 거야?…‘캄보디아 프린스그룹’ 여비서, 보석허가에 웃음...",https://n.news.naver.com/mnews/article/009/0005586046?sid=104,프린스그룹이 대만에 세운 페이퍼컴퍼니를 이용해 구입한 호화주택 11채 등 <b>부동산</b>과 대만 랜드마크빌딩 타이베이101의 15층과 49층에 사무실이 있는 회사인 톈쉬 등 관련 기업 12개사에 대한 강제 수사가 진행됐다.... ,"Thu, 06 Nov 2025 18:34:00 +0900",
2025-11-06 9:38,부동산,"김제 출신 서정일 회장, 미주총연 총회장 연임 성공",http://www.domin.co.kr/news/articleView.html?idxno=1534702,서정일 회장은 전북 김제 출신으로 1970년 말 도미해 WMS대학 졸업 후 '한국장의사'를 운영해 성공한 재미동포로 JP investment &amp; Management 대표를 맡아 <b>부동산</b> 개발 및 금융분야에 전념한 것으로 알려졌다. 그는 향후 한국... ,"Thu, 06 Nov 2025 18:32:00 +0900",
2025-11-06 9:38,부동산,대구 아파트 매매거래 소폭 ‘회복’…예년 3만건대 수준에는 여전히 못...,https://www.yeongnam.com/web/view.php?key=20251106021166818,"다만, 연간 3만건대 거래량을 보이던 예년 수준에는 아직 미치지 못하고 있다.6일 영남일보가 한국<b>부동산</b>원 <b>부동산</b>통계정보를 분석한 결과, 올해 1월에서 9월까지 대구의 아파트 매매거래량은 1만8천720건으로... ","Thu, 06 Nov 2025 18:32:00 +0900",
2025-11-06 9:38,부동산,&quot;세금보다 자식&quot;… 올해 주택 증여 22% 급증,https://n.news.naver.com/mnews/article/014/0005431013?sid=101,서진형 광운대 <b>부동산</b>법무학과 교수는 &quot;설상가상으로 시장에 주택 공급도 없다 보니 자녀에게 물려주는 것이 더 이득이 될 수 있다고 판단하는 것 같다&quot;며 &quot;<b>부동산</b> 대책이 매매시장의 시스템을 완전히 무너뜨려... ,"Thu, 06 Nov 2025 18:29:00 +0900",
2025-11-06 9:38,부동산,"새마을금고, 연체율 6%대 회복...연말 5%대 목표",https://www.financialpost.co.kr/news/articleView.html?idxno=237079,"상호금융업권은 최근 <b>부동산</b>·건설 경기 부진, 수익성과 연체율 악화로 전반적인 어려움을 겪고 있으며, 새마을금고 또한 지난 2024년말 6.81%, 2025년 상반기 8.37%까지 연체율이 상승하는 추세를 보였다. 이에... ","Thu, 06 Nov 2025 18:28:00 +0900",
