keyword,title,link,description,pubDate,originallink,pubDate_parsed,date
반도체,[속보] <b>반도체</b> 수출 ‘사상 최대’…11월 수출 전년 대비 8.4% 증가,https://n.news.naver.com/mnews/article/024/0000101705?sid=102,<b>반도체</b> 수출 38.6% 급증 자동차 관세 인하 효과 반영 대미 수출 환경 개선 조짐 지난달 우리나라 <b>반도체</b> 수출이 두 달 만에 다시 역대 최대 실적을 갈아치웠다. 인공지능(AI) 수요 확대로 <b>반도체</b> 수출이... ,"Mon, 01 Dec 2025 09:26:00 +0900",https://www.mk.co.kr/article/11480984,2025-12-01 09:26:00+09:00,2025-12-01
반도체,[속보] 날개 단 <b>반도체</b>에 11월 수출도 사상 최대치...6개월 연속 상승세,https://n.news.naver.com/mnews/article/469/0000900482?sid=101,특히 <b>반도체</b>는 불티나게 팔리며 올해를 한 달 남겨두고도 역대 연간 최대 실적을 뛰어넘었다. 1일... 품목별로는 15대 주력 수출품목 중 <b>반도체</b>와 자동차 등 6개 품목 수출이 증가했다. 특히 <b>반도체</b> 수출은 38.6... ,"Mon, 01 Dec 2025 09:24:00 +0900",https://www.hankookilbo.com/News/Read/A2025120108500003815?did=NA,2025-12-01 09:24:00+09:00,2025-12-01
부동산,‘20억 로또’ 아크로드서초 나온다…이달 2만가구 분양 [<b>부동산</b>360],https://n.news.naver.com/mnews/article/016/0002565232?sid=101,"1일 <b>부동산</b> 플랫폼 직방에 따르면 12월 전국 아파트 분양물량은 2만444가구로 집계됐다. 수도권에서 1만3780가구, 지방에서 6664가구가 공급될 예정이다. 지난해 12월(1만7487가구)에 비하면 17% 늘었다. 다만 2022~2024년... ","Mon, 01 Dec 2025 09:21:00 +0900",https://biz.heraldcorp.com/article/10626717?ref=naver,2025-12-01 09:21:00+09:00,2025-12-01
코스피,"내년부터 증권거래세 상향…<b>코스피</b> 0.05%, 코스닥 0.20%",https://n.news.naver.com/mnews/article/421/0008634229?sid=101,"1일 서울 중구 하나은행 딜링룸 전광판에 <b>코스피</b>와 코스닥 시황이 표시되고 있다. 정부가 내년 1월부터 <b>코스피</b>, 코스닥의 증권거래세율을 각각 0.05%포인트(p)씩 상향한다. 기획재정부는 이날 2025년 세제개편안에서... ","Mon, 01 Dec 2025 09:17:00 +0900",https://www.news1.kr/photos/7627328,2025-12-01 09:17:00+09:00,2025-12-01
반도체,11월 수출 8.4% 증가한 610억 달러…<b>반도체</b> 역대 최대,https://n.news.naver.com/mnews/article/023/0003944139?sid=101,"지난달 우리나라 <b>반도체</b> 수출이 두 달 만에 다시 역대 최대 실적을 기록하면서, 연간 수출 사상 첫... 올라탄 <b>반도체</b> 덕분이다. 지난달 <b>반도체</b> 수출은 작년보다 38.6% 늘어난 172억6000만달러로 월간 최대 수출을... ","Mon, 01 Dec 2025 09:14:00 +0900",https://www.chosun.com/economy/industry-company/2025/12/01/BNF27CMQT5D5ZA736LBXT7G4XA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,2025-12-01 09:14:00+09:00,2025-12-01
코스피,"새해에 거래세율 오른다...<b>코스피</b> 0.05%, 코스닥 0.20%",https://n.news.naver.com/mnews/article/215/0001232848?sid=102,"새해엔 <b>코스피</b>, 코스닥 증권거래세율이 0.05%포인트(p)씩 오른다. 1일 기획재정부는 지난 7월 말 발표한... 이에 <b>코스피</b> 시장 거래세율은 현재 0%에서 0.05%로 조정된다. 농어촌특별세(0.15%)는 유지된다. 코스닥·K-OTC 시장... ","Mon, 01 Dec 2025 09:14:00 +0900",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202512010056&t=NN,2025-12-01 09:14:00+09:00,2025-12-01
코스피,"내년 1월부터 거래세율 <b>코스피</b> 0.05%, 코스닥 0.2%로 상향",https://n.news.naver.com/mnews/article/052/0002280604?sid=101,내년 1월부터 <b>코스피</b>와 코스닥 증권거래세율이 0.05%p씩 상향됩니다. 기획재정부는 지난 7월 말 발표한 세제... 시행령 개정으로 증권거래세율이 환원돼 <b>코스피</b> 시장 거래세율은 현재 0%에서 0.05%로 조정되고... ,"Mon, 01 Dec 2025 09:13:00 +0900",https://www.ytn.co.kr/_ln/0102_202512010913502283,2025-12-01 09:13:00+09:00,2025-12-01
코스피,"증권거래세, 내년 1월부터 오른다…<b>코스피</b> 0.05%·코스닥 0.20%",https://news.mtn.co.kr/news-detail/2025120109035610418,"현재 증권거래세 기본세율을 0.35%로 그대로 둔채 탄력세율에 대해 <b>코스피</b>는 0%(농특세 0.15%)에서 0.05%(농특세 0.15%)로, 코스닥과 K-OTC는 0.15%에서 0.20%로 올리기로 했다. 코넥스는 0.1%로 동일하게 유지한다.대주주가... ","Mon, 01 Dec 2025 09:08:00 +0900",https://news.mtn.co.kr/news-detail/2025120109035610418,2025-12-01 09:08:00+09:00,2025-12-01
반도체,"11월 수출, 月기준 ‘역대 최대치’… “<b>반도체</b>·車가 견인”",https://n.news.naver.com/mnews/article/366/0001127125?sid=101,"11월 수출, 6개월 연속 월별 최고 기록 경신 <b>반도체</b> 수출 38.6% 증가…11월 수출 견인 1~11월 <b>반도체</b> 누적 수출, 지난해 연간 최대치 넘어 11월 수출이 ‘월 기준 역대 최대치’를 기록했다. 지난 6월 이후 6개월 연속... ","Mon, 01 Dec 2025 09:08:00 +0900",https://biz.chosun.com/policy/policy_sub/2025/12/01/2GGCRZHBK5DLHHPB3TNROT7IHA/?utm_source=naver&utm_medium=original&utm_campaign=biz,2025-12-01 09:08:00+09:00,2025-12-01
경제,"삼성바이오, '고용 1만명·<b>경제</b>유발 12조' 3캠퍼스 부지 매입",https://n.news.naver.com/mnews/article/417/0001116385?sid=101,"삼성바이오로직스는 최근 인천<b>경제</b>자유구역청(IFEZ)과 인천 연수구 송도국제도시 11공구 첨단산업클러스터... 이를 통해 2030년까지 직·간접 고용 1만명 이상, 약 12조원 규모의 <b>경제</b>유발효과가 발생할 것으로 전망하고... ","Mon, 01 Dec 2025 09:05:00 +0900",https://www.moneys.co.kr/article/2025120108515785176,2025-12-01 09:05:00+09:00,2025-12-01
